title,price
"Lenovo L490 (Intel Core i5- 8th Gen/ 8 GB RAM/ 512 GB SSD/ 35.56 cm (14 inch)/ Windows 10) 20Q6S7WP00 (Black , 1.4 kg)","72,990"
Realme 5S 4 GB 128 GB Crystal Blue,"14,990"
Strontium Class 10 MicroSDHC SR8GTFC10R 8GB Memory Card,285
Redmi 8A Dual 3 GB 64 GB Sea Blue,"9,766"
Innova Professional High Quality Advanced 9020 Trimmer Mustache & Beard Trimmer (White),429
5PLUS 5PHP1 On-Ear Wired Headphone ( Assorted ),224
Portronics Conch Gama POR-1025 In-Ear Wired Headphone ( Black ),299
"Microsoft Surface Pro 7 M1866 31.24 cm (12.3 inch) Laptop (10th Gen Intel Core i5-1035G4/8GB/256GB SSD/Windows 10 Home/Intel Iris Plus Graphics), Black Without Keyboard","1,19,990"
Transcend 2 TB USB 3.0 External HDD - Black,"7,199"
Philips BT3203/85 Cordless Grooming Kit Trimmer (White),"2,450"
Lenovo ThinkBook 14 Intel Core i3 10th Gen 14-inch Full HD Thin and Light Laptop (4GB RAM/ 1TB HDD/ Windows 10 Pro/ Mineral Grey/ 1.49 kg)  20SL005TIH,"47,790"
Samsung Galaxy M11 3 GB 32 GB Black,"10,999"
Seagate Backup Plus Slim 1 TB USB 3.0 External HDD - Black,"4,099"
Samsung Galaxy M01 3 GB 32 GB Blue,"8,399"
Kubra KB-1045 Rechargeable Beard and Hair Trimmer For Men (White),399
BTK Trade Over-Ear Bluetooth Headset ( Assorted ),532
Rockpapa S6-BT In-Ear Bluetooth Headset ( Black ),179
"Hp 15G Notebook (Core i5/ 8th Gen)/ 8GB/ 1TB HDD/ 2GB Graphic/ 15.6 FHD/ Window 10) DR0006TX (Silver, 1.6Kg )","54,990"
HP 64 GB Class 10 MicroSD Memory Card ( Pack of 1 ),790
Bazaartrick 2088A Mustache & Beard Trimmer For Unisex (Blue),599
"Asus VivoBook 15 (Intel Core i3-10th Gen 8 GB RAM 1 TB HDD + 256 GB SSD/39.62 cm (15.6 inch)/Windows 10) X512FL-EJ513TS (Peacock Blue, 2.04 kg)","65,990"
Vivo Y15 4GB 64GB Burgundy Red,"12,990"
Kingston 64 GB USB 3.1 Pendrive ( Black & Silver ),799
OPPO A1K 2GB 32GB Black,"7,990"
EDDNA Electric Touch Bikini Trimmer Sweet Shaving Style Eyebrow Underarms Hair Remover for Women(White),280
AVYUKTA akg earphone original samsung In-Ear Wired Headphone ( Black ),129
5PLUS RME27 On-Ear Wired Headphone ( Assorted ),222
ASUS Zenbook Classic (Intel Core i5 10th Gen/8GB RAM/512GB NVMe SSD/Windows 10/MS Office/Numberpad /Royal Blue/1.27 kg/13.3' FHD/ScreenPad 2.0) UX333FA-A5821TS,"87,990"
SanDisk Cruzer Blade Pack of two 32 GB USB 2.0 Pendrive ( Multi ),730
SYSKA FT2309 Female Precision and Bikini Trimmer (White Pink),"1,250"
Lenovo Yoga 920-13ISK 80Y8003TIN (Ci7-8550U/16GB/512GB/13.9UHD IPS TOUCH/W10HSL+OFFICE 2016 H&S/1Yr),"1,36,490"
OPPO A31 6GB 128GB Mystery Black,"14,990"
Samsung EVO Plus microSDHC UHS-I 32 GB Class 10 Memory Card With SD Adapter,519
Realme C11  2 GB 32 GB Rich Green,"8,485"
SYSKA BGT100 Mustache & Beard Trimmer Men Black,909
editrix MG-079 In-Ear Bluetooth Headset ( Red ),179
MS TRADING COMPANY In-Ear Bluetooth Headset ( Black ),199
"Lenovo Legion Y530(8 GB DDR4 /1 TB HDD + 128 GB SSD /39.62 cm (15.6 inch) /Windows 10)81FV00Q3IN (Black, 2.3 kg)","83,990"
WD WDBHDW0030BBK-EESN 3 TB USB 3.0 External HDD - Black,"6,599"
Innova New 2 In 1 Rechareable Pocket Size Shaver 9001 Mustache & Beard Trimmer (Beige),499
MSI Prestige 14 A10RB-038IN (Core i7 - 10th Gen/16 GB RAM/ 512 GB SSD / 35.56 cm (14 inch) /Windows 10/ 2 GB Graphics) 9S7-14C212-038 (Grey  1.29 kg)(),"1,09,990"
Realme 6 pro 8 GB 128 GB Lightning Blue,"20,990"
WD My Passport New Edition 4 TB USB 3.0 External HDD - Black,"8,299"
Redmi 8 4GB 64GB Red,"10,900"
Innova Advanced Professional High Quality Hair And Beard Trimmer,436
MS TRADING COMPANY QC-10S In-Ear Bluetooth Headset ( Assorted ),176
Pickadda Iphns In-Ear Wired Headphone ( White ),119
HP 14s-er0002TU 14-inch FHD Laptop with Built-in 4G LTE (10th Gen Intel Core i3/ 4GB/1TB HDD/Windows 10/MS Office 2019/Natural Silver/1.51kg),"46,500"
Strontium Nitro 16GB Micro SDHC Memory Card 85MB/s UHS-I U1 Class 10 High Speed for Smartphones Tablets Drones Action Cams (SRN16GTFU1QR),320
Philips HP8100/06 1000 W Hair Dryer ( Blue ),815
"HP 15s du2036TX 15.6-inch Laptop (10th Gen i5-1035G1/8GB/1TB HDD/Windows 10+MS Office 2019/2GB NVIDIA MX 130 Graphics), Jet Black","59,990"
Vivo X50 Pro 8 GB 256 GB Alpha Grey,"49,990"
Simmtronics 2.0 Metal 16 GB 16 GB USB 2.0 Pendrive ( White ),319
OPPO A31 4GB 64GB Fantasy White,"12,490"
JBL C50HI In-Ear Wired Headphone ( Black ),499
IMMUTABLE LvL U Wireless Earphones BT 4.2 with Call Vibration IMT-54184 In-Ear Bluetooth Headset ( Blue ),449
Lenovo Ideapad 720S 81A80090IN (Core i7-7500U/8 GB/256 GB SSD/13.3'' FHD IPS Anti-Glare/Win 10+ MS Office 2016/Iron Grey/1YR),"81,990"
Capnicks 64 GB USB 2.0 Pendrive ( Silver ),749
"Kubra KB-3020 Grooming Kit For Women ( White , Rechargeable Battery )",899
"Lenovo Ideapad 330S (Core i5 - 8th Gen / 4 GB RAM / 1 TB HDD / 39.62 cm (15.6 inch) FHD / Windows 10 / 2 GB Graphics) 81F500GLIN Thin and Light Laptop (Platinum Grey , 1.87 kg)","53,000"
OPPO A31 6GB 128GB Fantasy White,"14,990"
HP 32 GB Class 10 MicroSD Memory Card ( Pack of 1 ),445
realme C3 4 GB 64 GB Blazing Red,"10,990"
G GAPFILL In-Ear Bluetooth Headset ( Black ),169
AVYUKTA Buddies cart Earphones Noise Cancelling Headset Handsfree for Samsung Galaxy S8 Plus S9 Note9 and Smart Phones In-Ear Wired Headphone ( Black ),139
"Lenovo ThinkBook (Intel Core i5 10th Gen /8 GB /1 TB HDD /35.56 cm (14 inch) /Windows 10) 20RV00DSIH  (Mineral Grey, 1.49 kg)","88,900"
