Mobile Name,Price
"Redmi 9 Prime (SunriseFlare, 128 GB)","13,999"
"Redmi Y3 (Bold Red, 64 GB)","10,465"
"Redmi 7A (Matte Black, 32 GB)","6,699"
"Redmi Go (Black, 16 GB)","4,999"
"Redmi Note 4 (Dark Grey, 32 GB)","10,999"
"Redmi 6 (Gold, 64 GB)","8,499"
"Redmi 8A (Midnight Black, 32 GB)","7,499"
"Redmi 8A (Sunset Red, 32 GB)","7,499"
"Redmi Note 7S (Astro Moonlight White, 64 GB)","11,999"
"Redmi 4A (Gold, 32 GB)","6,999"
"Mi Mix 2 (Black, 128 GB)","14,999"
"Redmi Y1 (Grey, 32 GB)","8,999"
"Redmi Note 7S (Ruby Red, 32 GB)","9,999"
"Redmi 3S (Silver, 16 GB)","6,999"
"Redmi 6A (Rose Gold, 16 GB)","5,698"
"Redmi 5 (Lake Blue, 16 GB)","6,890"
"Redmi 5 (Rose Gold, 32 GB)","8,199"
"Redmi 5 (Black, 32 GB)","8,149"
"Redmi 5 (Rose Gold, 16 GB)","7,150"
"Redmi 5 (Rose Gold, 64 GB)","8,490"
"Redmi 5 (Lake Blue, 32 GB)","7,698"
"Redmi 5 (Black, 16 GB)","7,250"
"Redmi 5 (Gold, 16 GB)","7,150"
"Redmi K20 Pro (Glacier Blue, 256 GB)","29,999"
"Mi Max 2 (Black, 64 GB)","16,999"
"Redmi 1S (Metal Gray, 8 GB)","5,999"
"Redmi 2 (White, 8 GB)","5,999"
"Redmi 7A (Matte Gold, 32 GB)","6,699"
"Redmi Note 7S (Astro Moonlight White, 32 GB)","9,999"
"Mi 4i (Grey, 16 GB)","9,999"
"Redmi 4A (Dark Grey, 32 GB)","6,999"
"Redmi 7 (Comet Blue, 32 GB)","7,197"
"Redmi 4 (Black, 16 GB)","7,499"
"Redmi 6A (Gold, 16 GB)","5,589"
"Redmi 2 Prime (Grey, 16 GB)","6,999"
"Redmi 2 Prime (White, 16 GB)","6,999"
"Redmi Go (Blue, 8 GB)","4,499"
"Redmi K20 (Pearl White, 64 GB)","21,999"
"Redmi Y2 (Gold, 32 GB)","7,999"
"Redmi 6A (Black, 16 GB)","5,745"
"Redmi 5A (Rose Gold, 32 GB)","6,999"
"Redmi Y1 lite (Rose Gold, 16 GB)","7,999"
"Redmi Y1 lite (Grey, 16 GB)","7,899"
"Mi Max (Silver, 32 GB)","14,999"
"Mi 4i (Blue, 16 GB)","11,999"
"Mi Max (Dark Grey, 32 GB)","14,999"
"Mi 4i (Grey, 32 GB)","14,999"
"Mi 5 (Gold, 32 GB)","24,999"
"Redmi Y1 (Grey, 64 GB)","11,599"
"Redmi Note 5 Pro (Black, 64 GB)","12,999"
"Mi Max (Gold, 32 GB)","14,999"
"Mi 5 (Black, 32 GB)","24,999"
"Mi 5 (White, 32 GB)","24,999"
"Redmi 3S (Dark Grey, 16 GB)","6,999"
"Redmi 6 (Black, 64 GB)","8,499"
"Redmi 5 (Gold, 64 GB)","8,980"
"Redmi Y1 (Gold, 64 GB)","9,990"
"Redmi 6 (Blue, 32 GB)","7,999"
"MI4 (White, 16 GB)","14,999"
"Redmi 6 Pro (Lake Blue, 64 GB)","8,820"
"Redmi Y2 (Black, 64 GB)","8,499"
"Redmi 5A (Grey, 16 GB)","6,499"
"Redmi 5A (Grey, 32 GB)","6,999"
"Redmi Note 4 (Gold, 32 GB)","10,999"
"Redmi 6 Pro (Gold, 64 GB)","9,150"
"Redmi Note 5 Pro (Rose Gold, 64 GB)","13,999"
"Mi 4i (Yellow, 16 GB)","9,999"
"Redmi 4 (Black, 64 GB)","11,999"
"Redmi 4 (Gold, 64 GB)","11,999"
"Mi A1 (Rose Gold, 64 GB)","14,999"
"Mi A1 (Gold, 64 GB)","14,999"
"Mi 4i (White, 16 GB)","7,990"
"Mi A2 (Black, 128 GB)","11,999"
"Mi A1 (Red, 64 GB)","14,999"
"Redmi 6 (Blue, 64 GB)","8,499"
"Mi A2 (Red, 64 GB)","14,990"
"Redmi 3S (Gold, 16 GB)","6,999"
"Redmi Note 9 Pro (Glacier White, 128 GB)","17,990"
"Redmi Note 5 (Rose Gold, 64 GB)","13,500"
"Redmi 6 (Rose Gold, 64 GB)","8,499"
"Redmi Note 7 (Ruby Red, 32 GB)","12,990"
"Redmi Note 9 (Scralet Red, 128 GB)","17,990"
"Redmi Note 3 (Gold, 32 GB)","11,999"
"Redmi Note 5 (Gold, 64 GB)","12,499"
"Redmi 6 (Gold, 32 GB)","7,999"
"Redmi 6 (Black, 32 GB)","7,999"
"Redmi Note 9 (Aqua Green, 128 GB)","17,475"
"Redmi Note 6 Pro (Black, 64 GB)","11,349"
"Redmi Y1 (Gold, 32 GB)","8,999"
"Redmi Y2 (Rose Gold, 32 GB)","8,689"
"Mi A2 (Blue/Lake Blue, 64 GB)","14,990"
